Brand,Model,Selling_Price,KM_Driven
Maruti,Maruti Alto 800 VXI,245000,60000
Honda,Honda Amaze VX Diesel BSIV,790000,49000
Honda,Honda Amaze VX i-VTEC,680000,48600
Hyundai,Hyundai Grand i10 Asta Option,540000,20000
Mahindra,Mahindra KUV 100 mFALCON G80 K2,425000,25000
Maruti,Maruti Zen Estilo Sports,140000,120000
Maruti,Maruti Ertiga ZDI Plus,1100000,30000
Renault,Renault Lodgy 85PS RxL,715000,35000
Audi,Audi A4 3.0 TDI Quattro,1580000,86000
Audi,Audi Q3 2.0 TDI Quattro Premium Plus,1750000,127643
Tata,Tata Zest Revotron 1.2T XMS,400000,54000
Audi,Audi A6 2.0 TDI  Design Edition,1750000,102354
Audi,Audi Q5 2.0 TFSI Quattro Premium Plus,1850000,62237
Hyundai,Hyundai Santro Xing XL eRLX Euro III,114999,90000
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,950000,21394
Datsun,Datsun GO T Petrol,310000,32686
Mahindra,Mahindra Jeep CJ 500 DI,575000,1001
Renault,Renault Pulse RxZ,490000,22000
Hyundai,Hyundai Grand i10 Magna,480000,53261
Land,Land Rover Discovery Sport SD4 HSE Luxury,3500000,53000
Renault,Renault KWID 1.0 RXT Optional,370000,10000
Maruti,Maruti Baleno Alpha 1.3,835000,14000
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,650000,44000
Toyota,Toyota Etios VD,670000,39895
Chevrolet,Chevrolet Cruze LTZ AT,950000,73000
Honda,Honda City i-VTEC SV,690000,17000
Volkswagen,Volkswagen Polo 2015-2019 1.2 MPI Highline,670000,18591
Tata,Tata Nexon 1.5 Revotorq XZ,925000,26766
Hyundai,Hyundai EON Magna Plus,250000,30000
Tata,Tata Sumo Gold EX,509999,42000
Honda,Honda City i DTEC VX,520000,110000
Tata,Tata Indica DLE,100000,100000
Tata,Tata Indica DLS,85000,300000
Tata,Tata Indigo LX,130000,110000
Ford,Ford EcoSport 1.5 TDCi Titanium BSIV,950000,27620
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,450000,70000
Honda,Honda City S,320000,50000
Maruti,Maruti Swift Dzire VDI,480000,50000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI Grand Edition,2490000,46000
Toyota,Toyota Innova 2.5 VX 8 STR,790000,82000
Maruti,Maruti Omni MPI STD BSIV,120000,120000
Maruti,Maruti Alto LXi,75000,80000
Tata,Tata Indica GLS BS IV,99000,70000
Maruti,Maruti S-Cross Zeta DDiS 200 SH,1015000,20000
Mahindra,Mahindra Xylo D4 BSIV,250000,200000
Toyota,Toyota Innova Crysta 2.5 VX BS IV,520000,120000
Hyundai,Hyundai Verna CRDi 1.6 AT SX Option,1100000,30000
Toyota,Toyota Innova 2.5 V Diesel 7-seater,200000,223000
Maruti,Maruti Swift Dzire VDI,525000,60000
Hyundai,Hyundai i20 Asta 1.2,500000,40000
Mahindra,Mahindra Scorpio S2 7 Seater,675000,161327
Hyundai,Hyundai i10 Magna 1.2 iTech SE,150000,60000
Mahindra,Mahindra Bolero DI,250000,50000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,450000,6000
Hyundai,Hyundai Santro Xing XS,150000,68000
Chevrolet,Chevrolet Beat Diesel LS,200000,85000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,525000,70000
Maruti,Maruti Esteem VX,60000,35000
Maruti,Maruti Swift Vdi BSIII,180000,100000
Honda,Honda Amaze S i-Dtech,475000,110000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,380000,195000
Maruti,Maruti Alto 800 LXI,285000,46000
Maruti,Maruti Alto LXi BSIII,91200,60000
Datsun,Datsun RediGO T Option,250000,46000
Hyundai,Hyundai Grand i10 CRDi Sportz,400000,42000
Hyundai,Hyundai Santro Xing XG AT,160000,90000
Skoda,Skoda Yeti Ambition 4X2,650000,85000
Hyundai,Hyundai Verna 1.6 SX,409999,120000
Ford,Ford Ecosport 1.5 DV5 MT Titanium,425000,72000
Maruti,Maruti Wagon R LXI CNG,250000,71000
Maruti,Maruti Swift Dzire VXi,200000,110000
Maruti,Maruti Wagon R LXI CNG,250000,71000
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,130000,144000
Maruti,Maruti Eeco 5 Seater AC BSIV,260000,30000
Hyundai,Hyundai Verna SX,155000,65000
Honda,Honda Jazz 1.5 VX i DTEC,450000,38000
Maruti,Maruti SX4 Celebration Petrol,220000,90000
Hyundai,Hyundai i20 Active S Diesel,650000,37000
Maruti,Maruti Alto 800 LXI,285000,30000
Honda,Honda Amaze V CVT Petrol BSIV,725000,26000
Maruti,Maruti Ciaz ZXi,625000,30000
Hyundai,Hyundai i20 Active SX Petrol,550000,23000
Hyundai,Hyundai i10 Magna,240000,40000
Nissan,Nissan Terrano XL 85 PS,600000,27000
Tata,Tata New Safari DICOR 2.2 EX 4x2,350000,65000
Hyundai,Hyundai EON Magna Plus,245000,32000
Mahindra,Mahindra Bolero B6,600000,56000
BMW,BMW X1 sDrive 20d xLine,2400000,30000
Mahindra,Mahindra Scorpio SLE BS IV,620000,80000
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,395000,52000
Maruti,Maruti Ertiga ZXI,635000,13250
Maruti,Maruti Alto LX,180000,36000
Maruti,Maruti Swift ZDI Plus,484999,73000
Maruti,Maruti Alto LX,110000,60000
Maruti,Maruti Wagon R VXI BSIII,150000,60000
Chevrolet,Chevrolet Tavera Neo 2 LT L 9 Str,400000,110000
Tata,Tata Indica Vista Aura Plus 1.3 Quadrajet,200000,70000
Renault,Renault Duster 85PS Diesel RxL Plus,302000,60000
Maruti,Maruti Swift Dzire Vdi BSIV,215000,90000
Maruti,Maruti Wagon R VXI BSIII,155000,80000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,1000000,101000
Mahindra,Mahindra Bolero Power Plus SLX,550000,44000
Maruti,Maruti Swift 1.3 VXi,200000,45000
Mahindra,Mahindra Scorpio S2 7 Seater,750000,120000
Maruti,Maruti Zen LXI,90000,90000
Maruti,Maruti Wagon R LXI Minor,80000,120000
Hyundai,Hyundai EON D Lite Plus,229999,13500
Renault,Renault KWID 1.0 RXT Optional,350000,10000
Hyundai,Hyundai Grand i10 Magna,325000,25000
Tata,Tata Tigor 1.2 Revotron XT,450000,8500
Maruti,Maruti SX4 Celebration Diesel,250000,120000
Volkswagen,Volkswagen Polo Diesel Comfortline 1.2L,225000,120000
Maruti,Maruti Alto LXi,150000,90246
Maruti,Maruti Alto LX BSIII,110000,90000
Maruti,Maruti Alto LXi BSIII,150000,40000
Maruti,Maruti Gypsy King Hard Top,165000,60000
Renault,Renault Duster 85PS Diesel RxL,610000,32000
Tata,Tata Manza Club Class Quadrajet90 VX,170000,60400
Hyundai,Hyundai Verna CRDi,150000,70950
Hyundai,Hyundai i20 Asta 1.4 CRDi,300000,90000
Hyundai,Hyundai Xcent 1.1 CRDi Base,375000,72000
Maruti,Maruti Swift VDI,390000,90000
Hyundai,Hyundai i20 Active 1.2 S,600000,10000
Maruti,Maruti Alto 800 LXI,204999,25000
Hyundai,Hyundai Verna CRDi,270000,80000
Hyundai,Hyundai Grand i10 Sportz,375000,10000
Maruti,Maruti Baleno Zeta,700000,1100
Maruti,Maruti Swift VXI Deca,455000,40000
Hyundai,Hyundai i10 Sportz 1.1L,375000,10000
Hyundai,Hyundai Grand i10 Asta,341000,31491
Maruti,Maruti Swift Dzire VDI,200000,107143
Maruti,Maruti Ignis 1.2 AMT Delta BSIV,450000,15000
Hyundai,Hyundai Santro Xing GL Plus,170000,50000
Toyota,Toyota Innova Crysta 2.4 VX MT 8S BSIV,1900000,100000
Mahindra,Mahindra Bolero Power Plus LX,500000,60000
Maruti,Maruti Vitara Brezza ZDi Plus,819999,85000
Maruti,Maruti Swift 1.2 DLX,351000,40000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,195000,80000
Maruti,Maruti Swift Dzire VDi,250000,82000
Maruti,Maruti Zen Estilo 1.1 VXI BSIII,120000,70000
Maruti,Maruti A-Star Vxi,180000,70000
Mahindra,Mahindra KUV 100 mFALCON D75 K6,430000,20000
Tata,Tata Nano Cx BSIV,75000,35000
Mahindra,Mahindra Xylo D4,750000,80000
Tata,Tata Nano Lx,60000,40000
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,1500000,46412
Mahindra,Mahindra Bolero SLX 2WD BSIII,390000,150000
Mahindra,Mahindra TUV 300 T4,630000,50000
Tata,Tata Safari Storme VX Varicor 400,1085000,15000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,190000,60000
Maruti,Maruti Baleno Delta Automatic,550000,25000
Maruti,Maruti Alto 800 LXI,200000,90000
Chevrolet,Chevrolet Spark 1.0 LT,165000,60000
Ford,Ford Figo Diesel Celebration Edition,260000,65000
Maruti,Maruti Alto LX,151000,40000
Maruti,Maruti Vitara Brezza VDi,780000,50000
Tata,Tata Indica Vista Quadrajet LX,175000,80000
Tata,Tata Indica Vista TDI LS,170000,107500
Tata,Tata Indica Vista TDI LS,210000,135000
Maruti,Maruti Alto LXi,90000,43826
Hyundai,Hyundai i20 Active S Petrol,535000,55838
Maruti,Maruti Swift VDI BSIV,195000,112880
Tata,Tata Indica Vista Terra Quadrajet 1.3L,140000,90000
Nissan,Nissan Sunny XL,350000,40000
Hyundai,Hyundai Verna 1.6 SX VTVT (O),425000,66000
Renault,Renault KWID 1.0 RXT Optional,300000,30300
Volkswagen,Volkswagen Vento Diesel Style Limited Edition,340000,85000
Maruti,Maruti Swift Dzire VXi,250000,80659
Chevrolet,Chevrolet Aveo 1.4 LS,170000,81324
Honda,Honda Amaze S i-Dtech,315000,127884
Chevrolet,Chevrolet Beat PS,200000,50000
Chevrolet,Chevrolet Beat PS,300000,25000
Honda,Honda Amaze S i-Dtech,300000,66755
Honda,Honda City E,380000,123084
Maruti,Maruti Swift VXI BSIII,250000,806599
Honda,Honda Amaze S i-Dtech,310000,95851
Maruti,Maruti Wagon R VXI Minor ABS,260000,50000
Maruti,Maruti Omni BSIII 8-STR W/ IMMOBILISER,150000,50000
Maruti,Maruti Esteem Vxi - BSIII,85000,60000
Maruti,Maruti Alto 800 LXI,280000,15000
Mahindra,Mahindra Xylo H4 ABS,850000,40000
Datsun,Datsun GO Plus T Option BSIV,375000,20000
Hyundai,Hyundai Elantra CRDi (Leather Option),125000,120000
Chevrolet,Chevrolet Beat Diesel LT,250000,110000
Toyota,Toyota Corolla Altis D-4D J,715000,234000
Hyundai,Hyundai i20 1.4 CRDi Era,220000,70000
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,110000,110000
Hyundai,Hyundai Verna XXi (Petrol),150000,84000
Nissan,Nissan Sunny Diesel XV,300000,170000
Datsun,Datsun RediGO T Option,220000,40000
Maruti,Maruti Wagon R LX,75000,96000
Tata,Tata Indigo LS,100000,20000
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,380000,15000
Hyundai,Hyundai Santro Xing XK (Non-AC),100000,50000
Volkswagen,Volkswagen Passat 1.8 TSI MT,480000,80000
Toyota,Toyota Etios GD,300000,124000
Chevrolet,Chevrolet Beat Diesel LS,190000,70000
Ford,Ford Figo Diesel LXI,190000,130000
Ford,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,650000,19014
Toyota,Toyota Corolla Executive (HE),300000,23262
Ford,Ford Freestyle Titanium Diesel BSIV,700000,29600
Hyundai,Hyundai i10 Sportz 1.1L,310000,35925
Maruti,Maruti Ignis 1.2 Zeta BSIV,500000,12000
Toyota,Toyota Etios V,415000,40771
Maruti,Maruti Celerio VXI AT,395000,30500
Toyota,Toyota Etios Liva 1.2 G,430000,42000
Toyota,Toyota Corolla H6,215000,55800
Renault,Renault Duster RXL AWD,550000,66569
Volkswagen,Volkswagen Polo 1.5 TDI Trendline,415000,81358
Volkswagen,Volkswagen Polo 1.5 TDI Comfortline,450000,82695
Ford,Ford Figo Diesel EXI,285000,68293
Honda,Honda Jazz VX CVT,580000,32000
Maruti,Maruti Swift Dzire Tour LDI,300000,190621
Hyundai,Hyundai Verna CRDi 1.6 SX Option,1200000,60000
Maruti,Maruti 800 Std MPFi,78000,64700
Maruti,Maruti 800 AC,65000,100000
Tata,Tata Zest Quadrajet 1.3 75PS XE,400000,88470
Hyundai,Hyundai Verna 1.6 CRDI SX Option,850000,75000
Volkswagen,Volkswagen Vento Diesel Highline,450000,120000
Mercedes-Benz,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2500000,35000
Toyota,Toyota Etios 1.4 VXD,780000,70000
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,3200000,57000
Maruti,Maruti Alto 800 VXI,350000,1000
Mahindra,Mahindra Quanto C6,285000,120000
Volkswagen,Volkswagen Vento 1.5 TDI Highline,525000,98000
Maruti,Maruti Ciaz ZDi,550000,90000
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,580000,70000
Tata,Tata Nano CX SE,75000,25000
Tata,Tata Manza Aura Quadrajet,185000,60000
Maruti,Maruti Omni E 8 Str STD,110000,90000
Honda,Honda City 1.5 EXI,180000,200000
Volkswagen,Volkswagen Polo Diesel Comfortline 1.2L,350000,110000
Chevrolet,Chevrolet Optra 1.6 LS,60000,126000
Mahindra,Mahindra TUV 300 T10,695000,70000
Mahindra,Mahindra Alturas G4 4X2 AT BSIV,2700000,5000
Maruti,Maruti Zen Estilo LX BSIII,135000,74183
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,640000,70000
Maruti,Maruti Alto 800 VXI,160000,90000
Tata,Tata Indica LXI,80000,46000
Maruti,Maruti Swift Dzire VDI,340000,110000
Maruti,Maruti Ritz VDi,110000,80000
Tata,Tata Sumo Gold EX,250000,90000
Toyota,Toyota Innova Crysta 2.4 VX MT BSIV,1300000,70000
Mahindra,Mahindra Quanto C6,250000,1
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,450000,192000
Maruti,Maruti Wagon R LX Minor,240000,70000
Mahindra,Mahindra Bolero DI DX 7 Seater,225000,120000
Maruti,Maruti Wagon R VXI Optional,275000,60000
Tata,Tata Sumo Victa CX 7/9 Str BSII,320000,120000
Maruti,Maruti Alto LX BSIII,75000,120000
Tata,Tata Indica GLS BS IV,85000,50000
Tata,Tata Indica Vista Aqua TDI BSIII,90000,120000
Maruti,Maruti Wagon R LXI Minor,85000,80000
Mahindra,Mahindra Scorpio M2DI,350000,80000
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,355000,100000
Maruti,Maruti Swift VXI,619000,1500
Jeep,Jeep Compass 2.0 Longitude Option BSIV,1700000,50000
Tata,Tata Indica DL,55000,100000
Ford,Ford Fiesta 1.6 ZXi Leather,95000,83411
Volkswagen,Volkswagen Vento Diesel Highline,300000,120000
Ford,Ford Fiesta 1.6 ZXi Leather,81000,83411
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,1000000,80000
Maruti,Maruti Ertiga VDI,925000,50000
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,450000,40000
Mahindra,Mahindra Scorpio EX,600000,13270
Hyundai,Hyundai Santro Xing XL AT eRLX Euro III,85000,100000
Mahindra,Mahindra Thar DI 4X4 PS,700000,50000
Hyundai,Hyundai Grand i10 1.2 Kappa Magna BSIV,486000,26500
Maruti,Maruti Swift VDI,400000,90000
Ford,Ford Fiesta 1.4 Duratec ZXI,120000,100000
Maruti,Maruti Alto 800 LXI,275000,35000
Hyundai,Hyundai i20 Asta Option 1.4 CRDi,580000,57000
Maruti,Maruti Swift Dzire LXI,375000,70000
Maruti,Maruti Wagon R VXI BS IV with ABS,229999,100000
Maruti,Maruti Alto LX,110000,88000
Maruti,Maruti Swift Dzire VDI,600000,60000
Maruti,Maruti A-Star Vxi,120000,76000
Ford,Ford Figo Diesel Titanium,200000,100000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),450000,110000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),550000,80000
Maruti,Maruti Alto LX,220000,80000
Maruti,Maruti 800 EX,40000,30000
Renault,Renault KWID Climber 1.0 AMT,300000,20000
Mahindra,Mahindra Bolero Power Plus SLE,630000,40000
Maruti,Maruti Swift Dzire VDI,610000,40000
Hyundai,Hyundai Xcent 1.2 VTVT S,660000,7000
Maruti,Maruti Wagon R LXI LPG BSIV,220000,80000
Nissan,Nissan Micra Diesel XV Premium,138000,90000
Nissan,Nissan Micra Diesel XV Premium,210000,13770
Maruti,Maruti Zen LXi - BS III,125000,34000
Maruti,Maruti Alto LXi BSIII,125000,102000
Honda,Honda City i DTEC SV,725000,110000
Maruti,Maruti Alto K10 2010-2014 VXI,170000,90000
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater,1200000,70000
Maruti,Maruti Wagon R VXI BSIII,70000,90000
Maruti,Maruti Alto LXi,100000,70000
Honda,Honda Civic 1.8 (E) MT,300000,80000
Maruti,Maruti Swift VDI,450000,100000
Maruti,Maruti Swift Dzire VDI,530000,100000
Maruti,Maruti Zen Estilo 1.1 LXI BSIII,100000,143000
Honda,Honda City 1.5 V MT,350000,115000
Tata,Tata Manza ELAN Quadrajet BS IV,165000,100000
Maruti,Maruti Swift Dzire ZDI,475000,120000
Mahindra,Mahindra Xylo E4 ABS BS IV,350000,42000
Renault,Renault KWID RXL,229999,38000
Honda,Honda WR-V i-DTEC VX,800000,35000
Maruti,Maruti Swift Dzire ZDI,475000,120000
Nissan,Nissan Terrano XL 110 PS,425000,136906
Maruti,Maruti Ciaz VDi Plus,660000,97000
Honda,Honda Amaze S CVT Petrol,610000,10000
Honda,Honda Brio S MT,240000,50000
Maruti,Maruti Esteem Lxi,70000,60000
Toyota,Toyota Corolla Altis Diesel D4DGL,550000,120000
Tata,Tata Indica Vista Aura 1.2 Safire,100000,120000
Mahindra,Mahindra Bolero SLE,350000,90000
Hyundai,Hyundai EON Era Plus,200000,120000
Hyundai,Hyundai Elite i20 Asta Option CVT BSIV,720000,3000
Maruti,Maruti Ritz VDi,350000,133000
Maruti,Maruti Wagon R VXI BS IV,400000,25000
Hyundai,Hyundai i20 Active 1.2 S,570000,35000
Maruti,Maruti Omni MPI STD BSIV,130000,70000
Maruti,Maruti Alto 800 LXI,210000,52000
Hyundai,Hyundai Creta 1.4 E Plus,800000,52000
Honda,Honda Jazz 1.5 E i DTEC,700000,39000
Tata,Tata Indica Vista Quadrajet VX,200000,28689
Tata,Tata Aria Pure LX 4x2,495000,90000
Ford,Ford Fiesta Classic 1.4 Duratorq CLXI,325000,80322
Ford,Ford Freestyle Trend Petrol BSIV,650000,8000
Mahindra,Mahindra Jeep MM 775 XDB,155000,50000
Maruti,Maruti 800 AC BSIII,75000,90000
Hyundai,Hyundai Grand i10 1.2 CRDi Magna,350000,61658
Maruti,Maruti Zen Estilo LX BSIV,90000,50000
Maruti,Maruti Ertiga SHVS VDI,600000,80000
Mahindra,Mahindra Scorpio SLE BSIII,400000,185000
Maruti,Maruti Swift VDI BSIV,370000,57000
Maruti,Maruti 800 DX,50000,60000
Honda,Honda City 1.5 GXI,125000,120000
Honda,Honda CR-V Diesel 4WD,1800000,26000
Hyundai,Hyundai Grand i10 1.2 Kappa Magna AT,650000,20000
Maruti,Maruti Ertiga BSIV VXI AT,800000,30600
Volkswagen,Volkswagen Polo 1.0 TSI Highline Plus,802000,5000
Audi,Audi A4 35 TDI Premium,2300000,35000
Hyundai,Hyundai Xcent 1.1 CRDi SX,430000,35000
Hyundai,Hyundai Verna 1.6 SX VTVT,650000,23000
Mahindra,Mahindra Scorpio 2.6 SLX Turbo 7 Seater,170000,120000
Skoda,Skoda Superb Elegance 2.0 TDI CR AT,450000,235000
Maruti,Maruti Alto 800 LXI,250000,87000
Ford,Ford Ecosport 1.0 Ecoboost Titanium,550000,72000
Jaguar,Jaguar XF 3.0 Litre S Premium Luxury,2000000,64000
Maruti,Maruti Zen Estilo VXI BSIII,140000,100000
Chevrolet,Chevrolet Beat LT,155000,12000
Hyundai,Hyundai Accent Executive,120000,67000
Toyota,Toyota Innova 2.5 E 8 STR,287000,70000
Maruti,Maruti Baleno Alpha 1.3,675000,60000
Hyundai,Hyundai i10 Magna 1.2 iTech SE,235000,74500
Hyundai,Hyundai i20 1.4 CRDi Asta,300000,118700
Nissan,Nissan Micra XL CVT,434999,40000
Mahindra,Mahindra Scorpio VLX AT 2WD BSIII,225000,223660
Toyota,Toyota Corolla AE,160000,140000
Hyundai,Hyundai Grand i10 Nios Sportz,600000,5000
Chevrolet,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,470000,100000
Maruti,Maruti Swift Dzire VXi,300000,100000
Maruti,Maruti Baleno Delta 1.2,600000,2000
Hyundai,Hyundai Grand i10 Nios AMT Magna,640000,4000
Tata,Tata Indica DLS,50000,120000
Hyundai,Hyundai Verna 1.6 VTVT S,600000,35000
Hyundai,Hyundai i10 Magna LPG,290000,29000
Hyundai,Hyundai Verna 1.6 VTVT S,600000,30000
Tata,Tata Manza Aqua Quadrajet BS IV,190000,120000
Hyundai,Hyundai i10 Era 1.1,160000,110000
Maruti,Maruti Alto K10 VXI,325000,15000
Mahindra,Mahindra Bolero DI,200000,73756
Toyota,Toyota Fortuner 2.8 2WD AT BSIV,2800000,40000
Chevrolet,Chevrolet Spark 1.0 LS,125000,60000
Hyundai,Hyundai i10 Magna 1.1,155000,60000
Hyundai,Hyundai i20 Asta 1.4 CRDi,550000,90000
Maruti,Maruti Wagon R LX BSIII,130000,70000
Maruti,Maruti 800 AC,80000,70000
Toyota,Toyota Etios Cross 1.4L GD,500000,80000
Renault,Renault KWID RXT BSIV,250000,27000
Mahindra,Mahindra XUV500 W8 2WD,580000,70000
Daewoo,Daewoo Matiz SD,60000,50000
Toyota,Toyota Etios GD,300000,185000
Ford,Ford Figo Diesel Titanium,200000,90000
Tata,Tata Hexa XT,1200000,16400
Toyota,Toyota Etios Cross 1.4L GD,350000,80000
Mahindra,Mahindra XUV500 W8 4WD,600000,80000
Honda,Honda Jazz V,650000,4000
Maruti,Maruti A-Star Lxi,120000,40000
Tata,Tata New Safari DICOR 2.2 EX 4x2,180000,120000
Hyundai,Hyundai Verna VTVT 1.6 AT SX Option,950000,41395
Tata,Tata Manza Aura Quadrajet BS IV,250999,35000
Skoda,Skoda Laura Ambiente 2.0 TDI CR MT,385000,52000
Audi,Audi A8 L 3.0 TDI quattro,1250000,47000
Chevrolet,Chevrolet Beat LT,165000,50000
Hyundai,Hyundai Elantra SX,700000,48000
Mahindra,Mahindra XUV500 W8 4WD,750000,53000
Mahindra,Mahindra Renault Logan 1.5 DLS,89999,213000
Datsun,Datsun redi-GO AMT 1.0 T Option,290000,15000
Tata,Tata Nano Cx BSIII,45000,7000
Skoda,Skoda Superb Ambition 2.0 TDI CR AT,675000,88000
Nissan,Nissan Terrano XL Plus 85 PS,530000,55000
BMW,BMW X1 sDrive20d M Sport,1485000,48000
Chevrolet,Chevrolet Enjoy TCDi LT 7 Seater,325000,71014
Honda,Honda Amaze S Diesel,400000,60000
Mahindra,Mahindra KUV 100 D75 K6 Plus,380000,71000
Honda,Honda City i-VTEC CVT VX,750000,45000
Honda,Honda Brio VX,390000,45000
Maruti,Maruti Alto LXi,110000,20000
MG,MG Hector Sharp Diesel MT BSIV,1825000,14000
Audi,Audi A4 35 TDI Premium Plus,3256000,17000
Renault,Renault Scala Diesel RxL,370000,60000
Chevrolet,Chevrolet Beat Diesel LT,210000,80000
Skoda,Skoda Laura Ambiente 1.9 PD,175000,181000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),575000,89550
Mahindra,Mahindra Xylo D4,320000,90000
Maruti,Maruti Swift Ldi BSIV,280000,149500
Renault,Renault Duster 85PS Diesel RxL Optional,500000,190000
Ford,Ford Fiesta Diesel Style,380000,83000
Maruti,Maruti 800 AC BSIII,120000,20000
Maruti,Maruti Eeco 5 Seater AC BSIV,395000,20000
Skoda,Skoda Laura 1.9 TDI MT Ambiente,360000,160000
Nissan,Nissan Terrano XL Plus 85 PS,451000,100000
Chevrolet,Chevrolet Spark 1.0 LS,175000,45000
Chevrolet,Chevrolet Spark 1.0 LS,170000,44800
Hyundai,Hyundai Santro Xing XL eRLX Euro III,100000,40000
Maruti,Maruti Omni MPI STD BSIV,150000,120000
Tata,Tata Indica Vista Quadrajet LX,149000,10000
Tata,Tata Indica Vista Aqua 1.3 Quadrajet,160000,80000
Datsun,Datsun GO Plus T Option Petrol,434999,10000
Mahindra,Mahindra XUV500 W8 4WD,800000,156000
Toyota,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,819999,120000
Maruti,Maruti Baleno Vxi,163000,100000
Mercedes-Benz,Mercedes-Benz E-Class 220 CDI,350000,100000
Tata,Tata Indica GLS BS IV,75000,100000
Maruti,Maruti Alto LXi,180000,60000
Ford,Ford Figo Aspire 1.5 TDCi Trend,675000,30000
Maruti,Maruti Swift VDI,400000,170000
Volkswagen,Volkswagen Polo Diesel Highline 1.2L,434999,100000
Tata,Tata Indigo GLX,100000,110000
Maruti,Maruti Swift Dzire LDI Optional,419000,170000
Tata,Tata Indica GLS BS IV,200000,100000
Renault,Renault Scala Diesel RxL,400000,35000
Ford,Ford EcoSport 1.5 Diesel Ambiente BSIV,790000,40000
Renault,Renault Duster 85PS Diesel RxL Plus,500000,90000
Skoda,Skoda Rapid 1.6 TDI Elegance,275000,120000
Hyundai,Hyundai i20 1.4 CRDi Sportz,450000,120000
Mahindra,Mahindra XUV500 W11 Option AWD,1400000,25000
Renault,Renault Duster 110PS Diesel RxL,800000,15000
Maruti,Maruti Wagon R VXI,315000,41000
Maruti,Maruti Baleno Alpha,700000,16000
Mahindra,Mahindra Bolero SLX,585000,51000
Chevrolet,Chevrolet Sail 1.2 LT ABS,350000,30000
Honda,Honda City i-DTEC SV,495000,80000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,500000,50000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000
Maruti,Maruti Baleno Sigma 1.2,500000,10000
Maruti,Maruti Wagon R VXI,360000,33000
Maruti,Maruti Alto LXi BSIII,210000,25000
Maruti,Maruti Alto K10 LXI,220000,66000
Chevrolet,Chevrolet Aveo 1.4 LT BSIV,250000,48000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater,990000,146000
Mahindra,Mahindra Quanto C4,220000,100000
Jaguar,Jaguar XF 3.0 Litre S Premium Luxury,1800000,50000
Honda,Honda City i VTEC V,530000,50000
Maruti,Maruti Baleno Alpha 1.3,575000,50000
Mahindra,Mahindra Xylo E4,400000,99000
Honda,Honda Mobilio S i DTEC,680000,50000
Hyundai,Hyundai Santa Fe 4WD AT,1000000,80000
Maruti,Maruti Alto 800 LXI,260000,45000
Tata,Tata Manza Aura (ABS) Safire BS IV,150000,50000
Maruti,Maruti Alto LXi BSIII,180000,70000
Force,Force One EX,346000,37516
Mahindra,Mahindra Xylo D2 BS IV,450000,20000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,500000,5000
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,700000,8000
Maruti,Maruti Alto 800 LXI,280000,25880
Hyundai,Hyundai Santro Magna AMT BSIV,475000,10000
Maruti,Maruti Swift Dzire VDi,300000,50000
Maruti,Maruti Alto K10 LXI,200999,40000
Skoda,Skoda Laura 1.9 TDI MT Ambiente,200000,100000
Chevrolet,Chevrolet Aveo U-VA 1.2 LS,210000,80000
Tata,Tata Indigo LS BSII,160000,110000
Hyundai,Hyundai Verna CRDi SX ABS,175000,136000
Tata,Tata New Safari DICOR 2.2 GX 4x2 BS IV,320000,80000
Maruti,Maruti Alto LXi,110000,50000
Maruti,Maruti Wagon R LXI Minor,300000,30000
Honda,Honda City V MT,700000,10000
